,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
khandbari,np,2017-12-09,2017-12-09 14:44:36,0.0,53.0,27.37,87.2,33.46,0.72
yulara,au,2017-12-09,2017-12-09 14:00:00,0.0,22.0,-25.24,130.99,75.2,10.29
parkes,au,2017-12-09,2017-12-09 14:47:36,0.0,65.0,-33.13,148.18,57.17,6.08
coquimbo,cl,2017-12-09,2017-12-09 14:00:00,90.0,82.0,-29.95,-71.34,60.8,6.93
araouane,ml,2017-12-09,2017-12-09 14:47:37,0.0,26.0,18.9,-3.53,78.23,14.36
podhum,ba,2017-12-09,2017-12-09 14:30:00,40.0,91.0,43.72,17.0,44.6,12.75
victoria,sc,2017-12-09,2017-12-09 14:00:00,75.0,83.0,-4.62,55.45,80.6,4.7
baruun-urt,mn,2017-12-09,2017-12-09 14:47:38,32.0,45.0,46.68,113.28,8.53,14.03
cherskiy,ru,2017-12-09,2017-12-09 14:47:38,36.0,67.0,68.75,161.3,-8.89,1.72
kaeo,nz,2017-12-09,2017-12-09 14:47:39,68.0,82.0,-35.1,173.78,60.95,4.29
mwanza,mw,2017-12-09,2017-12-09 14:00:00,75.0,69.0,-15.6,34.52,78.8,4.7
hofn,is,2017-12-09,2017-12-09 14:47:39,0.0,100.0,64.25,-15.21,31.3,19.06
chuy,uy,2017-12-09,2017-12-09 14:47:40,8.0,99.0,-33.7,-53.46,75.85,6.76
viedma,ar,2017-12-09,2017-12-09 14:47:40,8.0,42.0,-40.81,-63.0,70.36,17.72
kampene,cd,2017-12-09,2017-12-09 14:47:41,92.0,75.0,-3.6,26.67,76.52,2.39
nanakuli,us,2017-12-09,2017-12-09 13:57:00,1.0,100.0,21.39,-158.15,69.8,3.4
ferme-neuve,ca,2017-12-09,2017-12-09 14:47:41,88.0,71.0,46.7,-75.45,17.53,3.51
acarau,br,2017-12-09,2017-12-09 14:47:41,88.0,61.0,-2.89,-40.12,86.96,11.68
bluff,nz,2017-12-09,2017-12-09 14:47:42,80.0,96.0,-46.6,168.33,61.18,27.89
port alfred,za,2017-12-09,2017-12-09 14:43:11,88.0,82.0,-33.59,26.89,66.89,19.39
clyde river,ca,2017-12-09,2017-12-09 14:32:00,90.0,92.0,70.47,-68.59,12.2,12.75
fairbanks,us,2017-12-09,2017-12-09 14:24:00,90.0,100.0,64.84,-147.72,21.2,3.18
luwuk,id,2017-12-09,2017-12-09 14:47:42,92.0,100.0,-0.95,122.79,78.28,1.16
banswara,in,2017-12-09,2017-12-09 14:47:43,32.0,64.0,23.55,74.45,70.67,4.52
kavieng,pg,2017-12-09,2017-12-09 14:47:43,92.0,100.0,-2.57,150.8,80.53,1.5
matara,lk,2017-12-09,2017-12-09 14:47:43,24.0,98.0,5.95,80.54,78.14,3.96
ibra,om,2017-12-09,2017-12-09 14:47:44,68.0,89.0,22.69,58.53,60.23,2.62
college,us,2017-12-09,2017-12-09 14:24:00,90.0,100.0,64.86,-147.8,21.2,3.18
kieta,pg,2017-12-09,2017-12-09 14:47:44,92.0,100.0,-6.22,155.63,75.89,2.39
keti bandar,pk,2017-12-09,2017-12-09 14:47:45,44.0,87.0,24.14,67.45,75.26,14.81
ostrovnoy,ru,2017-12-09,2017-12-09 14:47:45,80.0,93.0,68.05,39.51,13.07,11.45
nizhneudinsk,ru,2017-12-09,2017-12-09 14:47:46,56.0,82.0,54.91,99.03,12.76,3.4
ixtapa,mx,2017-12-09,2017-12-09 13:47:00,40.0,42.0,20.7,-105.2,68.0,13.87
cabedelo,br,2017-12-09,2017-12-09 14:00:00,75.0,55.0,-6.98,-34.83,87.8,13.87
kandrian,pg,2017-12-09,2017-12-09 14:47:47,100.0,99.0,-6.22,149.55,76.21,3.18
severomuysk,ru,2017-12-09,2017-12-09 14:47:47,24.0,26.0,56.15,113.43,-21.4,1.95
yellowknife,ca,2017-12-09,2017-12-09 14:00:00,90.0,85.0,62.46,-114.35,10.4,4.7
kodiak,us,2017-12-09,2017-12-09 13:53:00,90.0,93.0,57.79,-152.41,39.2,12.75
gvarv,no,2017-12-09,2017-12-09 14:20:00,0.0,51.0,59.39,9.17,37.4,5.82
yashalta,ru,2017-12-09,2017-12-09 14:47:48,24.0,89.0,46.34,42.28,36.74,9.44
taksimo,ru,2017-12-09,2017-12-09 14:47:48,36.0,23.0,56.34,114.88,-17.76,2.73
ostersund,se,2017-12-09,2017-12-09 14:20:00,75.0,92.0,63.18,14.64,26.6,2.24
lagoa,pt,2017-12-09,2017-12-09 14:47:49,44.0,93.0,39.05,-27.98,67.93,13.13
